arxiv_id	status	pdf_path	cited_by
0909.4766	pdf-only	pdf/0909/0909.4766v2.pdf	Adiabatic Algorithms
0911.3635	pdf-only	pdf/0911/0911.3635v2.pdf	Preparing Eigenstates and Thermal States
0911.4724	pdf-only	pdf/0911/0911.4724v1.pdf	Hidden Shift; Convex Optimization
0912.4807	pdf-only	pdf/0912/0912.4807v1.pdf	Principal Ideal
1001.3855	pdf-only	pdf/1001/1001.3855v3.pdf	Preparing Eigenstates and Thermal States
1005.1601	pdf-only	pdf/1005/1005.1601v1.pdf	Formula Evaluation
1010.2745	pdf-only	pdf/1010/1010.2745v2.pdf	Linear Systems; Solving Linear Differential Equations
1010.3654	pdf-only	pdf/1010/1010.3654v2.pdf	Bernstein-Vazirani
1010.4458	pdf-only	pdf/1010/1010.4458v2.pdf	Searching; Linear Systems
1011.1443	pdf-only	pdf/1011/1011.1443v2.pdf	Graph Properties in the Adjacency Matrix Model
1011.3245	pdf-only	pdf/1011/1011.3245v1.pdf	Probabilistic Sampling
1012.3174	pdf-only	pdf/1012/1012.3174v3.pdf	Graph Properties in the Adjacency List Model
1012.4019	pdf-only	pdf/1012/1012.4019v3.pdf	Quantum Cryptanalysis
1102.1360	pdf-only	pdf/1102/1102.1360v1.pdf	Simulating Quantum Hamiltonian Dynamics
1102.2389	pdf-only	pdf/1102/1102.2389v4.pdf	Preparing Eigenstates and Thermal States
1103.1345	pdf-only	pdf/1103/1103.1345v3.pdf	Adiabatic Algorithms
1103.3017	pdf-only	pdf/1103/1103.3017v1.pdf	Hidden Shift
1104.1410	pdf-only	pdf/1104/1104.1410v2.pdf	Preparing Eigenstates and Thermal States
1105.3310	pdf-only	pdf/1105/1105.3310v3.pdf	Convex Optimization; Machine Learning
1105.3986	pdf-only	pdf/1105/1105.3986v4.pdf	Simulating Quantum Hamiltonian Dynamics
1105.4024	pdf-only	pdf/1105/1105.4024v1.pdf	Graph Properties in the Adjacency Matrix Model
1108.3022	pdf-only	pdf/1108/1108.3022v1.pdf	Collision Finding and Element Distinctness
1109.5135	pdf-only	pdf/1109/1109.5135v3.pdf	Graph Properties in the Adjacency Matrix Model
1110.2494	pdf-only	pdf/1110/1110.2494v3.pdf	Adiabatic Algorithms
1111.1462	pdf-only	pdf/1111/1111.1462v2.pdf	Machine Learning
1111.3633	pdf-only	pdf/1111/1111.3633v2.pdf	Simulating Quantum Hamiltonian Dynamics
1112.3333	pdf-only	pdf/1112/1112.3333v1.pdf	Non-Abelian Hidden Subgroup
1112.4833	pdf-only	pdf/1112/1112.4833v2.pdf	Simulating Quantum Hamiltonian Dynamics
1112.5855	pdf-only	pdf/1112/1112.5855v2.pdf	Graph Collision; Matrix Multiplication over Semirings
1202.5822	pdf-only	pdf/1202/1202.5822v1.pdf	Simulating Quantum Hamiltonian Dynamics
1203.2603	pdf-only	pdf/1203/1203.2603v1.pdf	Graph Properties in the Adjacency Matrix Model
1204.1527	pdf-only	pdf/1204/1204.1527v1.pdf	Graph Collision
1204.2318	pdf-only	pdf/1204/1204.2318v3.pdf	Adiabatic Algorithms
1204.5242	pdf-only	pdf/1204/1204.5242v2.pdf	Linear Systems
1205.1534	pdf-only	pdf/1205/1205.1534v2.pdf	Collision Finding and Element Distinctness; Graph Collision
1206.6528	pdf-only	pdf/1206/1206.6528v2.pdf	Subset finding
1207.2485	pdf-only	pdf/1207/1207.2485v3.pdf	Solving Linear Differential Equations
1208.3757	pdf-only	pdf/1208/1208.3757v2.pdf	Adiabatic Algorithms
1210.1014	pdf-only	pdf/1210/1210.1014v1.pdf	Graph Properties in the Adjacency Matrix Model
1210.1148	pdf-only	pdf/1210/1210.1148v4.pdf	Search with Wildcards; Junta Testing and Group Testing
1210.1199	pdf-only	pdf/1210/1210.1199v1.pdf	Graph Properties in the Adjacency Matrix Model
1210.1550	pdf-only	pdf/1210/1210.1550v2.pdf	Knot Invariants
1211.4050	pdf-only	pdf/1211/1211.4050v1.pdf	Preparing Eigenstates and Thermal States
1301.2340	pdf-only	pdf/1301/1301.2340v4.pdf	Linear Systems; Solving Linear Differential Equations
1301.6176	pdf-only	pdf/1301/1301.6176v1.pdf	Quantum Cryptanalysis; Searching
1302.7316	pdf-only	pdf/1302/1302.7316v1.pdf	Collision Finding and Element Distinctness
1303.6055	pdf-only	pdf/1303/1303.6055v4.pdf	Machine Learning
1304.5773	pdf-only	pdf/1304/1304.5773v2.pdf	Adiabatic Algorithms
1305.1327	pdf-only	pdf/1305/1305.1327v1.pdf	Group Isomorphism
1305.1543	pdf-only	pdf/1305/1305.1543v2.pdf	Hidden Nonlinear Structures; Machine Learning
1306.1147	pdf-only	pdf/1306/1306.1147v1.pdf	Preparing Eigenstates and Thermal States
1306.2301	pdf-only	pdf/1306/1306.2301v2.pdf	Quantum Cryptanalysis
1307.3595	pdf-only	pdf/1307/1307.3595v1.pdf	Simulating Quantum Hamiltonian Dynamics
1308.1415	pdf-only	pdf/1308/1308.1415v2.pdf	Non-Abelian Hidden Subgroup
1308.5424	pdf-only	pdf/1308/1308.5424v3.pdf	Simulating Quantum Hamiltonian Dynamics
1309.7713	pdf-only	pdf/1309/1309.7713v3.pdf	Graph Properties in the Adjacency Matrix Model
1310.3898	pdf-only	pdf/1310/1310.3898v1.pdf	Matrix Multiplication over Semirings
1310.4127	pdf-only	pdf/1310/1310.4127v2.pdf	Graph Properties in the Adjacency Matrix Model
1310.6238	pdf-only	pdf/1310/1310.6238v2.pdf	Discrete-log
1310.7766	pdf-only	pdf/1310/1310.7766v1.pdf	Preparing Eigenstates and Thermal States
1310.7903	pdf-only	pdf/1310/1310.7903v4.pdf	Discrete-log
1311.1851	pdf-only	pdf/1311/1311.1851v10.pdf	Electrical Resistance; Linear Systems
1311.6474	pdf-only	pdf/1311/1311.6474v1.pdf	Preparing Eigenstates and Thermal States
1311.6777	pdf-only	pdf/1311/1311.6777v3.pdf	Junta Testing and Group Testing
1312.1414	pdf-only	pdf/1312/1312.1414v2.pdf	Simulating Quantum Hamiltonian Dynamics
1312.2579	pdf-only	pdf/1312/1312.2579v2.pdf	Preparing Eigenstates and Thermal States
1401.2142	pdf-only	pdf/1401/1401.2142v2.pdf	Machine Learning
1401.4997	pdf-only	pdf/1401/1401.4997v2.pdf	Machine Learning
